,Planet Name,Noise Estimate 1.95-2.6um,Full Phase Curve Noise Estimate 1.95-2.6um,Noise Estimate 2.6-3.25um,Full Phase Curve Noise Estimate 2.6-3.25um,Noise Estimate 3.25-3.9um,Full Phase Curve Noise Estimate 3.25-3.9um
99,TOI-4010d,4.25195915065002e-05,7.32591827249763e-06,5.7160302061027044e-05,9.848441306552654e-06,7.348888704174558e-05,1.266177687342867e-05
100,WASP-33b,1.3596958517046238e-05,6.467510240990348e-06,1.88845290883329e-05,8.98258865186312e-06,2.4754767735887095e-05,1.1774818143665799e-05
101,HATS-1b,5.73294269460113e-05,1.6274998017338274e-05,7.827669833240137e-05,2.2221626449595167e-05,0.00010157017372139962,2.883430838220675e-05
102,HD106315c,1.1996066013723554e-05,1.9636635831527265e-06,1.6477126737903258e-05,2.6971786995168105e-06,2.1456340522576116e-05,3.512237633879846e-06
103,XO-6b,2.098282343614282e-05,6.218344633708492e-06,2.8948354674243426e-05,8.57896204917799e-06,3.779560607300352e-05,1.1200880802198914e-05
104,HAT-P-26b,4.232213538765157e-05,1.1001987039274666e-05,5.7030737515839125e-05,1.4825609087121124e-05,7.342605403992905e-05,1.9087706409258453e-05
105,TOI-125b,2.6928760630619637e-05,7.3112886002874744e-06,3.6450090111759395e-05,9.896375550627244e-06,4.705339968995447e-05,1.277522532421197e-05
106,TOI-431d,9.4992676774914e-06,1.6925004869506737e-06,1.2740528000667837e-05,2.270001286123725e-06,1.635751474751492e-05,2.9144458936631424e-06
107,KELT-18b,2.3000289844956426e-05,9.431623987417748e-06,3.171488183572779e-05,1.300517699108745e-05,4.139455239444995e-05,1.6974475362862738e-05
108,TOI-892b,4.197155355219133e-05,8.075810140743405e-06,5.760360272147678e-05,1.1083596379700099e-05,7.497499928348379e-05,1.4426053082902281e-05
109,DSTucAb,8.977667983159614e-06,1.936316236368905e-06,1.2174569095605885e-05,2.625828428366557e-06,1.5733505730622168e-05,3.3934249582802007e-06
110,WASP-105b,3.607457946195186e-05,8.519215998424544e-06,4.860335310756701e-05,1.1477956764756665e-05,6.256941632658111e-05,1.4776121593980036e-05
111,TOI-776b,1.6210761320006944e-05,3.043250702460871e-06,2.102833846666896e-05,3.947655791544765e-06,2.6470858115664642e-05,4.969381509295083e-06
112,HATS-42b,9.515134468922432e-05,3.699903093468891e-05,0.00013025608199488165,5.0649297946346125e-05,0.00016927895622676826,6.582310905308034e-05
113,WASP-177b,5.841538537874382e-05,1.4497004223485452e-05,7.86204876513311e-05,1.951132452767433e-05,0.00010114886676174545,2.5102214752816954e-05
114,HAT-P-13b,2.965859923029252e-05,1.0339991793750494e-05,4.036584917156501e-05,1.4072901620904901e-05,5.227819226409652e-05,1.822594771943102e-05
115,WASP-103b,5.117212225477731e-05,2.6061052705005463e-05,7.009718000743527e-05,3.569924838275551e-05,9.11327742089357e-05,4.641230277664926e-05
116,HATS-27b,6.470581336356573e-05,2.1964474836837894e-05,8.899253430897829e-05,3.020863472518555e-05,0.0001159754432337085,3.9368019227036826e-05
117,WASP-141b,6.459015343373229e-05,2.2342930473709455e-05,8.822764534316645e-05,3.0519576761555864e-05,0.0001145110817312448,3.961150425529531e-05
118,K2-238b,6.324954534522936e-05,2.1268155393696192e-05,8.605307946389599e-05,2.8936022482923186e-05,0.00011142460601394064,3.746739715599565e-05
119,TOI-257b,5.111272807062679e-06,1.0502859281827066e-06,7.0002170813942285e-06,1.4384341772275148e-06,9.099869104117558e-06,1.8698795445144086e-06
120,WASP-181b,8.534122522411384e-05,2.385622527349602e-05,0.0001164721230093801,3.255853425231819e-05,0.0001510920552757216,4.2236165443224164e-05
121,WASP-135b,8.103830219371079e-05,2.9072431639431594e-05,0.00011033167935443355,3.958140927024988e-05,0.0001429202351361543,5.127252982121088e-05
122,WASP-81b,5.6210242926879356e-05,2.0323990710481478e-05,7.67485820662727e-05,2.7750057422570717e-05,9.958732265685824e-05,3.600788246356857e-05
123,WASP-19b,7.097575631150144e-05,3.197555541579387e-05,9.654378885865517e-05,4.3494306100129334e-05,0.00012499215651497263,5.631068740772872e-05
124,HAT-P-4b,3.205320173061734e-05,1.2301914146443933e-05,4.375872864871261e-05,1.6794457150275804e-05,5.677560134691453e-05,2.179029038198416e-05
125,WASP-32b,5.0513186927171776e-05,1.5995695991240323e-05,6.918556482699581e-05,2.1908561492079995e-05,8.994063729518134e-05,2.8480940897796614e-05
126,WASP-73b,2.063881212950701e-05,7.887208524644784e-06,2.8244220613157445e-05,1.0793647240654662e-05,3.669883777014214e-05,1.4024614609064473e-05
127,LTT1445Ac,2.0550536056763904e-05,2.82686248608564e-06,2.6224665861090046e-05,3.6073766605443987e-06,3.269455794978147e-05,4.497353213176676e-06
128,WASP-64b,7.888357044212668e-05,3.156649842180579e-05,0.00010692287465463086,4.27868659484241e-05,0.00013814025007731658,5.527898853478811e-05
129,HD110113b,2.0181696105708485e-05,7.511721900953955e-06,2.750053731515301e-05,1.0235828909335588e-05,3.564156330025862e-05,1.3265956945564198e-05
130,K2-30b,7.860399224515813e-05,2.034800000805092e-05,0.000106861154809853,2.766285422436873e-05,0.00013830448380977315,3.5802502612048864e-05
131,WASP-21b,3.430185242601803e-05,1.0079974597705068e-05,4.6870679342530435e-05,1.3773461890108538e-05,6.084578701879166e-05,1.788020016847793e-05
132,HAT-P-21b,4.4738402722701335e-05,1.4157570840661256e-05,6.082803808361732e-05,1.924917310090445e-05,7.873154379324538e-05,2.49147788211468e-05
133,KOI-13b,4.379520780687714e-05,1.8993453805065895e-05,6.093571718794121e-05,2.6427086145849466e-05,7.996353224969453e-05,3.467922021449973e-05
134,WASP-123b,2.924436653291712e-05,9.914689850676681e-06,3.985451392664627e-05,1.3511838059046398e-05,5.165636757379684e-05,1.751300930831481e-05
135,KELT-12b,1.9989261301531486e-05,7.073698593000241e-06,2.744018686299317e-05,9.710394410099944e-06,3.571995544045011e-05,1.264039699765117e-05
136,HATS-60b,5.683150415228302e-05,1.9630421706524667e-05,7.739002507231249e-05,2.6731631525662906e-05,0.00010026042887200801,3.46313990557203e-05
137,WASP-133b,7.002461007906303e-05,2.8439387374581576e-05,9.537300834576926e-05,3.873423823941451e-05,0.0001235711174881758,5.0186454085046254e-05
138,HATS-65b,6.852894532025246e-05,2.2104856943640672e-05,9.407056704175131e-05,3.034362220733811e-05,0.0001224535239880402,3.949889520918032e-05
139,HATS-40b,7.771201884417331e-05,3.1995927662972644e-05,0.00010690756151535347,4.401644244668234e-05,0.00013934341134202644,5.737107047175373e-05
140,HATS-33b,4.534016029054622e-05,1.68498711069752e-05,6.171440855075608e-05,2.2935071752277666e-05,7.993129465546487e-05,2.9705056261988196e-05
141,HATS-68b,5.866066412039307e-05,1.914438587080713e-05,8.039351210543572e-05,2.623707795222201e-05,0.00010454860350447304,3.412028891517157e-05
142,HAT-P-57b,2.5689511988222927e-05,9.686014731305162e-06,3.5286949776421316e-05,1.3304648041345902e-05,4.595127891512563e-05,1.732554377437233e-05
143,WASP-54b,2.0541348476823588e-05,7.446871813317108e-06,2.8134530468770024e-05,1.0199634272559357e-05,3.657464684561643e-05,1.3259436544974375e-05
144,HATS-25b,7.914213687351565e-05,2.3104656148158123e-05,0.00010781538081071004,3.1475487010103577e-05,0.00013971098747457696,4.0787050403739424e-05
145,TOI-776c,1.4553797858577276e-05,2.221657346424244e-06,1.887895215432817e-05,2.8818981240512525e-06,2.376517120654873e-05,3.6277862117579423e-06
146,HAT-P-5b,4.889985140227794e-05,1.6638416659196276e-05,6.6850820669315e-05,2.274632287028706e-05,8.680889663416026e-05,2.9537157077270294e-05
147,Qatar-8b,3.5616931943687835e-05,1.2304315726760238e-05,4.853766438256569e-05,1.6767944755793468e-05,6.290968850136053e-05,2.1732940692834153e-05
148,WASP-18b,1.9074919293802364e-05,9.0853835952935e-06,2.6232691433078248e-05,1.2494630290987528e-05,3.418513942829918e-05,1.628238107752323e-05
149,TrES-5b,8.328731935789397e-05,3.871484494432772e-05,0.00011243070633098897,5.2261705577067916e-05,0.00014490372545066177,6.735629512304742e-05
150,WASP-2b,4.781539919389096e-05,1.4666791850300347e-05,6.455754720356885e-05,1.980224202168025e-05,8.321182305907521e-05,2.552421414161083e-05
151,HAT-P-55b,9.731591682745224e-05,2.965118195278759e-05,0.0001327556310980136,4.044930676575535e-05,0.00017216988811956981,5.245843481571501e-05
152,HAT-P-36b,6.063209059047486e-05,2.527106641952139e-05,8.240105462801565e-05,3.43442309883065e-05,0.00010662597372246432,4.4441021870518265e-05
153,WASP-65b,5.562872665083834e-05,1.9968376067142158e-05,7.564923822496118e-05,2.715489871897123e-05,9.792606357608694e-05,3.51513432355854e-05
154,WASP-159b,4.524811590427123e-05,1.7749293604128642e-05,6.199031047891436e-05,2.4316685884317257e-05,8.059930754146134e-05,3.161636115124556e-05
155,WASP-93b,4.7839681315841486e-05,1.4568269278404611e-05,6.598673211990466e-05,2.009445832170282e-05,8.614287910254857e-05,2.6232462772853372e-05
156,WASP-140b,3.934368602936629e-05,1.0991804838924487e-05,5.319766339532017e-05,1.4862317005369177e-05,6.862924169481287e-05,1.9173577950721377e-05
157,KELT-16b,6.438446363833405e-05,3.1740249242104255e-05,8.833681419234701e-05,4.3548277663202655e-05,0.00011495523844380446,5.6670626944843627e-05
158,Kepler-5b,8.57203421159183e-05,2.7543610451698075e-05,0.00011769806689997166,3.7818674372844225e-05,0.00015323213016741065,4.9236458906191084e-05
159,WASP-129b,6.643562969859047e-05,1.5605870096412984e-05,9.074849436936036e-05,2.1317013491080824e-05,0.00011778290370663404,2.7667453490894635e-05
160,WASP-145Ab,5.180966864237107e-05,1.3164580361025276e-05,6.956208817947381e-05,1.767538229670291e-05,8.936709874625271e-05,2.2707737453363557e-05
161,WASP-167b,4.0683204155983877e-05,1.5445128922991286e-05,5.628563815327156e-05,2.1368497290846986e-05,7.361136616313517e-05,2.794610366056713e-05
162,K2-232b,1.5427882561659832e-05,3.5617426148629334e-06,2.1070340558568884e-05,4.864383014142908e-06,2.73445560376093e-05,6.312873470122025e-06
163,TOI-157b,7.262131487936636e-05,2.4520434114053423e-05,9.844139225942465e-05,3.323852889475487e-05,0.00012718764159353523,4.294463947667002e-05
164,WASP-76b,1.8139848788643446e-05,8.178045839640362e-06,2.4892554763670123e-05,1.1222389794698838e-05,3.239673721874482e-05,1.4605524286153174e-05
165,Qatar-2b,5.658607633156345e-05,2.7374742724787227e-05,7.554146379091882e-05,3.654482286796676e-05,9.672047647080088e-05,4.679062997923637e-05
166,LP791-18d,9.9459219952035e-05,1.9864649424417097e-05,0.00012419086983805433,2.4804217167961892e-05,0.00015285635413778026,3.052947618839057e-05
167,HATS-22b,8.726613063107562e-05,2.0431457460663474e-05,0.00011692208542732101,2.7374751204675076e-05,0.00015002444266875632,3.512494476700118e-05
168,HAT-P-51b,8.012620102481679e-05,2.413545644649624e-05,0.00010869700160341194,3.2741496720296795e-05,0.00014050128032768225,4.232151891209031e-05
169,TOI-837b,3.180965364001507e-05,5.374407020706486e-06,4.353788439875657e-05,7.3559528257495935e-06,5.6575424607039036e-05,9.558713296551853e-06
170,HAT-P-56b,4.4372231539577775e-05,1.3482917732942228e-05,6.111530146153712e-05,1.857045618936004e-05,7.971446029408796e-05,2.4221984628211126e-05
171,WASP-57b,0.00010604407045125654,3.2182841562738995e-05,0.00014420882214802192,4.376529168853686e-05,0.00018667474540728669,5.665308517149776e-05
172,KELT-24b,9.256037383849459e-06,2.750079600015636e-06,1.2740524378591706e-05,3.785362432546199e-06,1.6611527957247816e-05,4.935483972874545e-06
173,HATS-35b,6.28040528358501e-05,2.6368649113985082e-05,8.623605857981784e-05,3.6206713850260714e-05,0.00011227390233758544,4.713885492605801e-05
174,WASP-94Ab,2.4738405877113087e-05,7.573760423520278e-06,3.391352843638955e-05,1.0382760343142644e-05,4.4110905913470415e-05,1.3504727633325408e-05
175,HAT-P-24b,4.9993809115491086e-05,1.738754426473517e-05,6.870632848821763e-05,2.3895645260727883e-05,8.949786252857928e-05,3.112681497663012e-05
176,WASP-31b,5.276580311096875e-05,1.7268641153133248e-05,7.245256767077942e-05,2.371151992320775e-05,9.432866762164552e-05,3.087090152282284e-05
