,Planet Name,ESM Estimate 0.8-1.1um
56,WASP-150b,0.0670771012044615
57,Qatar-4b,0.14252549712977056
58,TOI-1201b,8.467124651411867e-06
59,HAT-P-35b,0.2967710430786073
60,TOI-561b,0.4496970986540127
61,WASP-53b,0.012295958008273713
62,KELT-20b,16.95075433092292
63,KELT-6b,0.08642825192377065
64,piMenc,0.007449259592471737
65,HATS-24b,3.8415211760313905
66,HD191939d,1.3340394612911263e-08
67,WASP-147b,0.08974425994765722
68,WASP-97b,0.7643634361253846
69,WASP-15b,0.7081179638961856
70,HATS-58Ab,0.38813579642635465
71,WASP-139b,0.0007924887013380096
72,HAT-P-2b,0.4273949470287416
73,TOI-163b,0.6711649878496373
74,TOI-1478b,0.0016851248767815103
75,WASP-136b,1.0223438517445844
76,HATS-4b,0.052337952236954186
77,L98-59b,2.319035445154377e-07
78,TOI-2076b,0.00015033203339448773
79,HAT-P-69b,2.493025371806965
80,EPIC211945201b,0.00014474526820317765
81,K2-34b,0.754748329031997
82,WASP-61b,0.22248289948143732
83,KELT-21b,2.5412708010044236
84,HAT-P-16b,0.813724593972148
85,WASP-174b,0.22980950090826927
86,WASP-130b,0.00023677889283766718
87,KOI-12b,0.007131203282132256
88,WASP-37b,0.06978346538257917
89,HD191939c,1.36772220878172e-07
90,WASP-83b,0.012490889783319763
91,WASP-46b,0.7308270561634688
92,XO-4b,0.5514351780934328
93,WASP-170b,0.15446992253252992
94,HD191939b,0.00020417075020545604
95,HD86226c,0.013720813410232737
96,TOI-481b,0.01304308187361028
97,WASP-169b,0.2280218150281888
98,Kepler-138b,1.092258697799777e-10
99,TOI-4010d,1.058600011206902e-06
100,WASP-33b,61.93189786439022
101,HATS-1b,0.14439129379877078
102,HD106315c,0.00013361495121518038
103,XO-6b,0.8600523295302696
104,HAT-P-26b,0.0018408245410999515
105,TOI-125b,0.0007534942614629275
106,TOI-431d,1.3260029623739373e-06
107,KELT-18b,4.293509297334792
108,TOI-892b,0.011707027867585545
109,DSTucAb,0.0003941911846765371
110,WASP-105b,0.0004275528332734968
111,TOI-776b,5.47756424368624e-09
112,HATS-42b,0.6974834633050804
113,WASP-177b,0.054684607189388654
114,HAT-P-13b,0.7385144265531084
115,WASP-103b,12.600660224942184
116,HATS-27b,0.3032160760691636
117,WASP-141b,0.19558880626469194
118,K2-238b,0.26578823694292025
119,TOI-257b,0.003724360086637872
120,WASP-181b,0.018971750483590573
121,WASP-135b,1.0680435183336878
122,WASP-81b,0.5817800550177114
123,WASP-19b,6.465900284085887
124,HAT-P-4b,0.745546664492771
125,WASP-32b,0.38896701522238475
126,WASP-73b,0.8487004978661221
127,LTT1445Ac,8.180823624136663e-09
128,WASP-64b,0.6647129781623559
129,HD110113b,0.015564780203833745
130,K2-30b,0.020568231928474814
131,WASP-21b,0.10604320658268508
132,HAT-P-21b,0.05112865237188663
133,KOI-13b,6.96541267076726
134,WASP-123b,0.5474497849426578
135,KELT-12b,1.5591553938198173
136,HATS-60b,0.1804914976709194
137,WASP-133b,0.6128117199113701
138,HATS-65b,0.47121754741569694
139,HATS-40b,1.0164412072226592
140,HATS-33b,0.24340224998361826
141,HATS-68b,0.3729782857141844
142,HAT-P-57b,2.378989344126666
143,WASP-54b,2.149653116084445
144,HATS-25b,0.04325365807516228
145,TOI-776c,1.4877785541048356e-11
146,HAT-P-5b,0.381296641868467
147,Qatar-8b,0.273500340985249
148,WASP-18b,23.558951675073647
149,TrES-5b,0.3478957295475554
150,WASP-2b,0.14423440244511743
151,HAT-P-55b,0.04809543859259567
152,HAT-P-36b,1.9484050669873036
153,WASP-65b,0.28389537406665377
154,WASP-159b,0.6789927221019257
155,WASP-93b,2.00589400065351
156,WASP-140b,0.3064538718325791
157,KELT-16b,8.062211765723106
158,Kepler-5b,0.3264052923531134
159,WASP-129b,0.005171591908371516
160,WASP-145Ab,0.0657024980293854
161,WASP-167b,5.821024702850923
162,K2-232b,0.005753519336748029
163,TOI-157b,0.4452807400648962
164,WASP-76b,14.069673704737848
165,Qatar-2b,0.20866854014309089
166,LP791-18d,2.7400656933345148e-11
167,HATS-22b,0.000415379416417472
168,HAT-P-51b,0.0252395362705857
169,TOI-837b,0.003008240462861585
170,HAT-P-56b,1.4306572659729144
171,WASP-57b,0.02655339856937918
172,KELT-24b,0.6258248972158711
173,HATS-35b,2.283618622811944
174,WASP-94Ab,0.5450463772583584
175,HAT-P-24b,0.43084026816107146
176,WASP-31b,0.4918348402774983
177,WASP-183b,0.018103900331822843
178,HAT-P-66b,0.8994030598910828
179,WASP-63b,0.3399069767911646
180,HAT-P-33b,1.372258322997888
181,WASP-48b,2.7193831105348365
182,HD219134b,0.0026972468518403495
183,HATS-3b,0.5238315773549662
184,HAT-P-8b,1.5159751362365104
185,WASP-96b,0.053968338045723485
186,WASP-24b,1.2098017029901966
187,TOI-216.01,4.743901508367678e-09
188,KELT-3b,1.9845717762004396
189,WASP-132b,0.00010033664716818685
190,KELT-17b,5.1676314047000105
191,KELT-10b,0.27867614840956856
192,WASP-117b,0.006776670744730556
193,HATS-51b,0.35110050964456363
194,K2-333b,6.97002122043838e-05
195,WASP-126b,0.23047807542679719
196,WASP-6b,0.04650892102347332
197,LHS3844b,0.00014133682614939476
198,KELT-7b,8.045887110531348
199,K2-198b,6.997801075102864e-06
200,WASP-78b,6.590016357164431
201,HAT-P-45b,0.8205331604709373
202,TrES-2b,0.27725083400075556
203,CoRoT-2b,0.9341265384592417
204,HAT-P-27b,0.030170188273648736
205,G9-40b,3.99912310116423e-10
206,WASP-41b,0.09754166356014118
207,TOI-640b,1.140020549139737
208,TOI-1259Ab,0.005466231861210092
209,WASP-138b,0.25217045638615243
210,WASP-74b,4.971250832635034
211,HAT-P-25b,0.026815525294555078
212,HAT-P-62b,0.22449826125655026
213,WASP-29b,0.005035599420812466
214,WASP-82b,5.673091797800387
215,HAT-P-29b,0.04041481570800444
216,K2-31b,0.6535214499249618
217,HAT-P-37b,0.051648998995521264
218,XO-2Nb,0.15475443466889116
